,1,2,3,4,5,6,7,8,9,10,11,12,avg,std,var
"Retail and food services sales, total",528822.0,528541.0,483949.0,412766.0,488218.0,529962.0,535923.0,543404.0,552767.0,552193.0,545248.0,538338.0,520010.9166666667,38669.55703017197,17929559220.494804
Retail sales and food services excl motor vehicle and parts,423554.0,422637.0,405952.0,344298.0,386681.0,419239.0,425872.0,432178.0,438043.0,437350.0,432255.0,423345.0,415950.3333333333,25547.980253937018,11489205749.11219
Retail sales and food services excl gasoline stations,486218.0,487333.0,449466.0,386718.0,459034.0,496398.0,500837.0,508021.0,516737.0,516161.0,509837.0,500256.0,484751.3333333333,35754.94468912268,15579916158.875786
Retail sales and food services excl motor vehicle and parts and gasoline stations,380950.0,381429.0,371469.0,318250.0,357497.0,385675.0,390786.0,396795.0,402013.0,401318.0,396844.0,385263.0,380690.75,22491.681107041182,9631717413.30041
"Retail sales, total",463338.0,463251.0,438221.0,382734.0,448788.0,479823.0,483699.0,488998.0,497072.0,496660.0,491713.0,487393.0,468474.1666666667,31622.643935512766,14554444386.012066
"Retail sales, total (excl. motor vehicle and parts dealers)",358070.0,357347.0,360224.0,314266.0,347251.0,369100.0,373648.0,377772.0,382348.0,381817.0,378720.0,372400.0,364413.5833333333,18474.594061658176,8863183412.103514
GAFO(1),110025.0,109349.0,98312.0,71515.0,87586.0,104611.0,106230.0,106248.0,111498.0,109940.0,107104.0,105478.0,102324.66666666667,11187.798855102026,708819244.1201496
Motor vehicle and parts dealers,105268.0,105904.0,77997.0,68468.0,101537.0,110723.0,110051.0,111226.0,114724.0,114843.0,112993.0,114993.0,104060.58333333333,14486.366368982557,766822157.4666425
Automobile and other motor vehicle dealers,97305.0,98055.0,70902.0,61763.0,93286.0,101986.0,101477.0,102535.0,106202.0,106581.0,104700.0,106704.0,95958.0,13934.945227735916,659801390.287142
"Automotive parts, acc., and tire stores",7963.0,7849.0,7095.0,6705.0,8251.0,8737.0,8574.0,8691.0,8522.0,8262.0,8293.0,8289.0,8102.583333333333,599.8308731541658,4352927.126685454
"Furniture, home furn, electronics, and appliance stores",18236.0,18122.0,14538.0,7792.0,11827.0,16416.0,17885.0,18140.0,18003.0,18102.0,17487.0,16917.0,16122.083333333334,3109.5915717430735,21020386.158374943
Furniture and home furnishings stores,10161.0,10111.0,7897.0,4034.0,7143.0,9930.0,10143.0,10388.0,10403.0,10382.0,10208.0,10136.0,9244.666666666666,1868.9591726115607,7110105.510030339
Electronics and appliance stores,8075.0,8011.0,6641.0,3758.0,4684.0,6486.0,7742.0,7752.0,7600.0,7720.0,7279.0,6781.0,6877.416666666667,1303.3672070406287,3787379.432703179
Building mat. and garden equip. and supplies dealers,33420.0,34023.0,33544.0,32815.0,37004.0,37406.0,36696.0,37653.0,37793.0,37768.0,38313.0,38189.0,36218.666666666664,2017.6584751196676,87308436.14544383
